Region,Depth,Oil_Production_Rate,Extraction_Method,Water_Cut,Flaring_Emissions_MtCO2,Venting_Emissions_MtCO2,Methane_Emissions_MtCO2e
south america,3615.44,1444162.18,natural lift,2.87,1.57,2.23,9.58
middle east,4603.79,3704697.98,water flooding,43.13,4.24,2.85,7.79
middle east,3079.1,3521.05,steam injection,75.32,1.2,4.73,6.69
europe,2015.2,594.28,fracking,55.69,5.78,0.62,1.95
africa,1993.18,1627239.08,water flooding,20.97,9.99,0.32,7.93
middle east,3687.35,3161.58,natural lift,53.82,2.58,2.41,4.76
africa,4876.15,122.16,natural lift,29.51,4.77,0.86,8.31
north america,3078.65,2886.07,steam injection,32.4,7.69,1.38,8.2
asia,4358.69,4200.65,fracking,64.64,8.63,4.93,2.34
asia,2472.07,4005127.99,fracking,29.22,5.7,2.43,8.83
africa,3445.22,2989.93,water flooding,80.37,6.58,1.19,4.57
middle east,3367.04,4199.7,steam injection,46.04,3.94,2.71,7.74
africa,3863.04,201.8,natural lift,58.77,5.17,0.32,8.56
europe,1496.29,3068040.75,natural lift,94.99,4.5,4.06,4.86
africa,1644.34,3182529.25,water flooding,65.67,5.47,0.72,5.56
middle east,828.68,3958.79,natural lift,78.64,2.69,4.15,0.52
africa,2373.53,2570423.61,water flooding,87.38,0.91,2.99,1.73
asia,1853.69,4524854.61,natural lift,97.21,9.51,0.94,3.01
north america,4315.09,4822531.54,steam injection,1.46,0.3,2.68,7.79
europe,3546.37,4413006.29,fracking,7.36,6.74,0.8,9.95
asia,4249.4,2000166.59,fracking,19.55,3.5,3.23,1.14
africa,2623.34,3861.83,natural lift,91.86,0.52,1.04,0.58
europe,1349.61,188.28,natural lift,93.03,4.17,1.54,6.38
south america,1133.27,2874860.58,natural lift,34.95,1.77,3.27,3.8
europe,4814.23,217.74,fracking,56.91,0.37,4.99,3.42
europe,1514.98,3343.84,natural lift,32.76,8.47,1.54,8.32
europe,1891.09,2807.96,steam injection,24.8,6.01,3.28,6.18
north america,1970.23,4944303.3,steam injection,4.33,7.31,2.57,4.46
middle east,1272.66,3590436.23,water flooding,20.26,6.43,1.51,0.78
south america,4787.64,4439779.07,water flooding,23.93,8.52,1.03,0.9
europe,1515.45,3335.88,fracking,86.71,8.12,2.83,2.62
north america,4620.8,4702961.09,water flooding,3.15,0.3,1.47,7.29
south america,4162.91,2110.61,natural lift,36.26,3.3,1.67,7.35
asia,517.32,3332.91,water flooding,8.22,1.94,0.71,8.67
africa,2605.38,2131740.89,fracking,22.08,3.11,0.45,6.8
south america,2765.61,2564939.85,water flooding,85.02,4.76,2.39,5.53
middle east,1970.1,145.78,steam injection,16.88,1.23,1.95,2.71
africa,3081.31,1616.98,steam injection,24.2,1.36,1.39,2.89
north america,4917.63,3596182.89,natural lift,61.21,1.34,3.49,3.9
south america,2861.94,1222095.75,natural lift,22.2,7.02,1.92,7.12
north america,685.92,2965421.85,steam injection,80.89,3.8,4.4,2.04
middle east,4238.03,3205.3,water flooding,4.54,9.94,1.25,3.48
africa,4038.67,2412.56,natural lift,56.57,5.64,0.83,8.12
south america,3507.39,185528.45,natural lift,93.69,5.95,4.7,3.12
north america,4944.44,3785305.02,steam injection,30.0,5.49,0.05,9.2
middle east,1276.55,1238226.98,water flooding,73.92,9.36,3.54,1.17
africa,3967.96,671.62,fracking,61.45,6.2,4.72,8.4
north america,739.29,3903564.56,fracking,56.22,2.11,1.73,2.98
south america,574.58,3659.09,fracking,50.3,4.33,2.46,9.99
north america,931.42,4363945.25,water flooding,12.34,9.69,2.15,8.36
africa,4702.31,1491.65,water flooding,81.01,9.55,2.76,5.03
south america,4893.17,3711.76,steam injection,91.73,1.4,2.14,4.84
south america,3483.98,964.41,natural lift,55.25,5.53,4.33,9.56
south america,4192.27,534.48,steam injection,94.11,4.93,4.06,5.44
asia,3446.07,1184405.63,water flooding,80.95,8.69,4.39,5.3
africa,4812.94,213.27,natural lift,28.9,5.86,1.35,8.84
south america,2219.35,3294.1,steam injection,74.27,3.6,1.48,6.08
asia,3752.66,3068826.85,water flooding,24.84,8.03,2.66,0.01
south america,3338.37,2648.25,steam injection,69.32,8.72,3.05,1.23
middle east,2010.37,848.12,fracking,86.3,3.33,1.89,4.58
africa,1113.07,4438869.02,steam injection,72.55,1.4,4.34,3.79
africa,2880.44,1598.24,water flooding,83.31,2.65,3.05,5.85
middle east,4867.86,125.95,steam injection,87.6,0.03,4.71,2.26
middle east,542.73,1132.53,natural lift,26.03,5.8,4.67,9.59
africa,619.6,4536381.48,steam injection,80.11,1.43,2.2,4.01
africa,4995.26,94612.41,fracking,62.36,9.28,3.72,3.96
north america,3584.09,4652.75,fracking,66.86,2.41,2.4,6.93
middle east,3719.24,2307661.62,fracking,44.72,1.45,1.05,6.33
south america,2462.87,3702728.29,fracking,28.23,0.41,0.62,7.19
north america,3179.13,1181.39,steam injection,16.99,3.56,2.03,3.21
south america,3799.17,3495.63,fracking,70.31,1.94,4.99,0.03
south america,3261.33,2716.68,natural lift,75.74,2.59,1.74,8.63
asia,934.89,3388.8,water flooding,93.48,6.51,0.59,6.15
south america,1266.25,2701419.14,fracking,20.44,1.51,2.93,8.83
africa,4073.71,1230078.22,natural lift,44.52,7.05,0.04,8.05
africa,2385.48,280.16,fracking,55.36,3.82,0.58,6.95
north america,4945.01,1866.17,steam injection,65.41,1.17,4.51,2.96
asia,2101.35,834.49,steam injection,48.19,7.32,1.75,1.12
north america,2268.86,1059.65,steam injection,3.07,7.81,4.18,6.95
middle east,3385.4,1258379.69,water flooding,77.2,7.1,0.11,2.81
asia,4555.39,1292301.41,water flooding,57.83,0.91,2.59,3.75
north america,4366.71,1677261.56,steam injection,28.95,9.31,3.59,5.02
north america,3431.09,3563191.48,steam injection,58.37,1.51,0.14,2.53
south america,2556.43,2605797.31,fracking,88.65,2.27,3.24,2.35
asia,2931.78,1299.71,natural lift,75.01,0.02,2.76,9.29
africa,1302.86,3585.07,water flooding,88.35,5.44,0.52,1.33
south america,4064.81,1417.92,steam injection,40.21,0.47,3.67,0.1
asia,4794.49,745.57,natural lift,63.6,9.28,1.38,9.8
europe,4667.97,2021.34,natural lift,63.05,5.0,2.63,0.01
middle east,1788.89,2353.48,steam injection,88.74,8.09,1.27,3.93
south america,583.25,3982.06,fracking,91.4,1.57,4.12,5.18
africa,4402.55,3492.7,natural lift,99.56,2.68,1.24,6.59
south america,3588.59,984.04,water flooding,21.49,6.91,3.02,5.92
asia,4100.56,2435.29,fracking,57.28,7.41,2.23,2.49
asia,1534.18,4792.51,fracking,15.18,6.65,1.54,8.93
south america,2160.91,1263377.06,fracking,38.79,6.05,1.31,2.02
europe,4299.74,3644.17,water flooding,63.67,9.75,3.67,1.58
asia,2757.62,126333.15,fracking,1.42,8.16,2.76,7.35
asia,2172.96,4941.53,water flooding,86.16,7.03,2.59,1.56
middle east,4940.12,4254479.68,fracking,67.3,7.93,1.69,5.0
europe,505.84,3157890.02,natural lift,6.65,7.46,4.36,3.92
north america,1634.4,4178034.34,natural lift,6.71,1.44,1.46,3.24
middle east,3880.85,1517989.25,steam injection,87.41,9.62,1.39,1.04
south america,2404.21,4955.03,steam injection,41.03,1.96,4.15,3.76
europe,2866.44,255763.81,water flooding,42.74,2.61,3.72,5.46
middle east,1008.95,802479.77,natural lift,48.52,4.66,0.14,2.06
south america,2610.68,2786383.1,water flooding,78.16,2.33,1.88,6.04
asia,2091.87,2678077.63,water flooding,94.39,9.36,2.29,9.41
asia,3928.42,3495.77,natural lift,29.41,2.78,2.95,3.26
middle east,640.34,3886375.13,water flooding,5.66,1.45,4.5,9.36
africa,4219.14,2435.16,water flooding,45.29,6.04,0.1,9.51
north america,2207.91,1506.87,fracking,4.28,8.16,2.5,5.67
middle east,4516.15,1345.36,natural lift,80.89,4.69,4.26,7.25
europe,3189.5,4522.8,natural lift,47.11,6.47,1.53,9.45
africa,3080.21,3785195.4,steam injection,81.9,0.99,3.82,7.95
north america,1802.7,3344543.25,natural lift,98.32,9.62,1.62,9.5
europe,1816.62,832.16,water flooding,56.1,9.81,2.55,9.71
middle east,3522.77,1734.33,fracking,97.91,6.39,1.09,7.48
africa,1861.71,4185834.19,water flooding,38.4,5.94,3.39,2.97
africa,2921.35,4412584.72,natural lift,91.1,7.71,3.24,2.11
africa,1046.61,4070050.04,water flooding,24.01,9.64,4.14,5.49
europe,1295.68,1377.59,water flooding,97.31,8.38,2.93,9.07
middle east,1534.07,1905725.51,steam injection,39.04,0.53,3.8,2.07
africa,3990.95,1068605.83,natural lift,90.02,0.28,2.8,8.3
north america,2597.32,2535897.9,fracking,15.86,8.58,2.07,1.64
middle east,1870.58,647663.51,water flooding,1.72,7.7,0.53,3.36
africa,4237.63,4456.95,fracking,48.05,0.16,0.48,0.85
north america,4110.28,2345809.8,fracking,7.64,1.0,1.21,0.66
europe,2578.48,2454477.15,natural lift,44.99,1.18,3.94,6.66
africa,3345.0,2540.08,fracking,1.74,5.43,4.36,7.02
asia,2287.04,667.75,fracking,53.43,1.7,1.58,1.07
north america,721.87,3282657.18,water flooding,77.7,1.14,1.0,7.98
asia,1796.63,3966.14,steam injection,38.51,8.99,4.51,2.3
asia,4629.02,3527208.8,steam injection,4.23,9.13,2.28,3.88
middle east,1414.78,2029840.52,water flooding,42.55,0.31,3.59,4.14
africa,4122.19,310535.75,fracking,75.79,2.06,1.19,4.55
south america,2762.73,3703.36,fracking,38.07,6.38,1.52,9.78
south america,2642.61,188.99,water flooding,71.19,2.41,0.2,6.63
north america,1919.7,1481.58,natural lift,39.38,8.13,1.56,1.67
south america,2914.41,2392201.17,natural lift,90.14,0.58,4.58,1.34
middle east,3836.46,4535323.24,steam injection,32.53,0.19,1.86,5.84
africa,3143.57,1993.34,water flooding,0.45,1.0,0.57,7.07
europe,3380.54,1100331.6,fracking,29.82,8.21,3.74,8.33
europe,3031.49,3985.8,water flooding,10.02,3.56,1.51,5.98
middle east,4036.22,4015.29,natural lift,83.1,6.92,4.8,0.46
europe,1626.57,2797502.29,steam injection,4.36,5.06,1.63,6.56
north america,2581.76,150.63,fracking,5.98,5.05,2.5,6.17
middle east,2248.23,4956.61,water flooding,93.21,7.66,4.34,8.6
north america,3229.06,1244567.53,steam injection,78.15,4.29,1.17,6.85
asia,4563.95,600280.74,water flooding,91.42,3.36,3.42,5.0
europe,970.21,1362480.91,natural lift,46.34,5.69,3.43,3.5
middle east,2945.47,4569.37,steam injection,57.35,5.11,0.99,9.39
africa,2781.44,270.18,natural lift,4.41,0.39,3.02,6.19
middle east,2011.22,4489.1,water flooding,58.77,6.75,3.67,8.27
africa,4650.68,3673280.98,water flooding,23.86,7.91,3.55,5.86
europe,3170.97,3357.23,natural lift,90.0,8.86,1.1,8.6
asia,2758.31,3763816.36,fracking,35.28,1.09,0.43,5.95
asia,746.86,3730288.2,steam injection,48.46,6.33,2.38,6.33
africa,2756.97,3113228.84,fracking,71.76,4.62,2.19,5.02
north america,4698.45,3695.34,natural lift,20.5,3.73,1.72,7.43
asia,2253.36,3083527.55,water flooding,38.3,2.46,0.8,8.49
middle east,1172.84,3057.46,fracking,7.45,0.76,4.12,0.46
africa,2400.68,3801788.55,fracking,35.48,9.92,2.93,3.66
europe,4444.63,2012522.55,natural lift,10.25,7.46,2.68,3.12
asia,842.63,430.6,water flooding,25.25,5.92,2.22,1.33
south america,4985.06,1755.63,fracking,93.78,4.64,4.63,1.12
middle east,4021.64,309.15,fracking,58.29,5.44,2.62,1.28
africa,3022.84,2377.65,water flooding,26.38,3.36,3.38,1.94
middle east,2928.99,824277.57,fracking,75.07,1.35,4.0,1.37
europe,2871.46,824896.63,fracking,75.81,1.17,2.19,0.45
europe,3853.8,4643281.72,steam injection,57.27,8.18,2.4,4.01
europe,2756.33,2215.36,fracking,50.42,0.06,0.76,4.88
north america,2024.05,678.16,water flooding,44.97,2.26,4.88,8.59
asia,2053.37,1737.27,natural lift,44.51,5.12,3.83,1.78
africa,822.35,2203482.81,fracking,26.91,0.73,4.6,8.31
asia,2853.27,2206.16,natural lift,65.84,0.85,2.8,7.69
south america,2236.45,1238956.62,natural lift,10.77,2.63,3.6,8.05
middle east,1915.91,3898.19,steam injection,66.84,4.04,0.28,7.77
south america,3239.46,2519331.96,steam injection,14.41,4.38,1.85,6.87
middle east,1279.8,2243.45,water flooding,70.96,7.54,3.98,6.14
north america,2116.72,2816.77,natural lift,85.84,4.33,0.38,3.21
north america,2396.64,80.82,natural lift,16.01,5.96,0.46,3.09
south america,2315.67,2612.16,fracking,42.56,3.64,2.53,9.81
asia,3673.74,2419456.2,fracking,74.17,3.93,1.78,8.19
south america,2960.69,2731497.01,steam injection,71.21,5.83,4.01,1.59
south america,1674.08,4571598.96,fracking,73.07,3.22,2.35,6.71
africa,988.94,360.98,water flooding,78.15,8.33,3.64,4.75
africa,1648.69,866604.47,fracking,50.87,2.34,2.56,8.05
north america,4778.38,482.49,natural lift,82.27,3.97,2.77,8.74
africa,1739.68,2135924.21,steam injection,19.88,9.4,1.22,9.23
north america,3789.06,1381926.77,water flooding,98.09,1.26,1.78,5.99
africa,1035.52,4505049.87,steam injection,97.59,1.62,1.96,0.06
europe,3368.51,698.37,steam injection,71.91,3.0,0.48,3.5
north america,4099.06,1719407.44,fracking,10.31,5.2,0.72,0.88
africa,4885.55,1612875.73,water flooding,52.32,3.72,3.45,8.15
north america,2451.92,2435.21,water flooding,25.38,2.89,3.29,9.18
middle east,3246.1,4168363.88,water flooding,50.24,7.98,3.38,6.28
south america,2083.3,1630.62,natural lift,35.75,5.95,2.34,3.99
south america,4624.23,4941.72,water flooding,1.07,5.66,2.6,4.55
north america,2227.42,3637.93,natural lift,29.83,6.13,0.51,8.51
south america,4612.16,4020497.81,fracking,20.33,0.96,3.96,7.44
africa,1608.29,1133097.42,water flooding,43.36,5.62,2.89,0.89
north america,2045.74,4442.99,water flooding,79.03,6.76,1.61,3.07
north america,1943.82,3844.26,steam injection,32.81,1.8,1.46,0.21
south america,2611.42,1811214.21,natural lift,87.08,3.71,4.44,8.78
south america,840.05,3026.78,steam injection,23.11,3.36,2.8,5.15
africa,3714.53,4689.66,steam injection,1.19,2.99,0.42,5.78
middle east,4460.87,4387949.64,fracking,50.68,4.0,1.52,6.62
africa,502.3,3956.53,fracking,32.23,7.68,3.23,4.97
asia,4183.64,969.3,fracking,88.43,9.65,0.3,6.99
africa,3136.85,4514224.55,fracking,86.75,4.83,1.61,2.53
europe,2820.62,1728990.23,water flooding,95.56,5.4,1.86,4.04
asia,1165.67,2560.23,steam injection,41.76,3.42,2.83,2.87
europe,4396.94,625314.15,steam injection,39.28,6.59,4.41,2.56
africa,2936.45,1077901.75,steam injection,14.09,1.93,2.12,1.15
south america,4269.42,2083.49,natural lift,3.42,5.84,3.61,4.14
middle east,1969.45,4091183.86,fracking,2.4,7.89,0.28,1.24
middle east,2667.74,4797.51,water flooding,65.98,6.98,2.59,2.3
south america,4055.26,3728420.11,water flooding,14.31,4.63,4.87,1.19
north america,3893.36,1108.86,fracking,6.13,5.07,2.21,7.32
europe,1418.41,2849148.74,water flooding,94.07,6.82,3.89,1.57
asia,4617.0,659.84,water flooding,15.47,3.35,2.5,2.95
europe,3155.69,2323.22,water flooding,66.2,7.22,0.46,0.82
middle east,3691.11,1252.25,steam injection,46.61,0.99,1.02,0.41
africa,2033.98,3636993.82,natural lift,72.63,0.97,4.33,2.88
middle east,2804.89,1374.66,fracking,0.84,5.12,4.72,1.83
south america,1584.19,2112011.72,steam injection,72.87,2.48,0.4,1.59
asia,2376.05,2753.93,steam injection,69.75,1.72,0.9,2.93
south america,3805.15,1134.2,steam injection,85.85,1.4,2.33,9.28
asia,2197.2,1620.71,natural lift,67.66,1.66,0.65,8.49
europe,858.23,2907976.99,steam injection,6.08,4.07,2.11,9.13
north america,3504.61,541.23,steam injection,34.77,4.97,3.16,1.4
north america,3309.86,520.47,natural lift,91.94,2.9,3.64,5.5
europe,4155.53,2759.42,water flooding,89.42,7.33,2.34,2.72
europe,4222.09,3751.38,fracking,89.56,7.88,2.04,5.14
north america,3788.04,3133.52,fracking,54.5,4.19,1.45,2.29
africa,3626.38,568868.66,water flooding,13.26,3.42,0.48,4.82
africa,3507.22,495.5,natural lift,95.33,3.5,1.28,2.78
north america,1184.85,1528.29,steam injection,92.64,3.34,1.28,2.66
asia,1964.79,4032414.72,steam injection,39.33,1.92,3.99,3.67
north america,3150.67,312.75,water flooding,87.86,6.78,3.93,5.24
europe,1538.47,2667391.36,water flooding,32.98,1.5,3.31,9.84
south america,2610.22,4134287.34,natural lift,55.56,8.97,3.64,3.46
middle east,1329.12,462.44,natural lift,94.58,7.16,3.07,7.99
africa,2739.99,1039834.65,steam injection,55.11,5.48,3.6,6.51
europe,1333.56,4880.11,fracking,2.67,4.08,2.82,1.39
europe,1247.75,1057.24,fracking,15.63,2.63,4.01,5.6
south america,4107.44,3495.98,steam injection,73.03,3.29,3.58,8.62
africa,933.89,3460484.16,steam injection,66.34,8.9,4.27,5.76
europe,4667.67,4334767.3,water flooding,18.1,4.77,1.88,1.13
asia,2355.94,2947.51,steam injection,74.93,7.26,2.05,1.71
africa,866.91,2170589.32,water flooding,81.92,2.4,4.53,0.29
europe,4081.7,4428.1,fracking,62.51,5.99,4.69,3.05
asia,2398.39,4596.56,fracking,67.84,2.75,3.45,4.71
europe,1096.76,4686.87,steam injection,29.04,6.88,3.46,2.47
africa,1945.71,3123.94,fracking,95.41,4.76,4.36,8.8
middle east,1936.76,4746.82,natural lift,43.37,9.76,0.59,9.21
north america,2670.26,583891.65,steam injection,58.92,0.9,4.67,9.02
africa,4297.11,3271881.92,steam injection,5.32,0.08,0.26,4.31
africa,4220.43,1013284.98,steam injection,70.8,9.09,4.74,4.19
asia,4533.35,1047131.38,water flooding,82.36,7.53,0.31,3.72
north america,1504.57,3761270.92,natural lift,36.3,8.77,2.89,6.33
south america,1622.94,3573.52,fracking,60.19,4.4,4.72,8.66
europe,4846.02,2331.93,steam injection,8.59,2.86,0.64,9.45
north america,1841.71,1552185.46,water flooding,0.96,5.13,1.28,4.01
middle east,3622.33,1208196.2,water flooding,98.51,1.53,1.54,5.6
south america,4210.5,4783.54,water flooding,81.4,1.46,1.7,7.86
asia,2706.67,4285.65,steam injection,7.73,4.75,4.96,9.98
asia,4427.78,4988075.51,steam injection,20.0,4.9,1.94,9.16
north america,3963.42,2609902.17,natural lift,0.25,4.33,4.2,6.41
middle east,3477.3,709.26,natural lift,2.22,2.25,1.64,7.35
north america,567.23,4474.89,steam injection,34.12,7.73,0.06,9.14
north america,2243.72,4513378.72,water flooding,87.42,7.74,4.76,1.22
middle east,1690.04,386527.62,fracking,90.84,1.42,4.27,1.94
middle east,3506.33,2842853.44,fracking,25.68,4.47,2.48,8.07
north america,3371.08,714.87,fracking,74.01,3.32,1.52,8.63
europe,4278.71,4546624.55,water flooding,22.19,0.1,3.31,0.08
asia,2411.13,3866.29,water flooding,88.53,9.0,1.43,6.45
middle east,2012.07,1356.16,natural lift,18.69,5.28,2.08,9.01
south america,4182.45,1642.03,natural lift,29.92,3.46,2.41,1.41
europe,4787.41,3517.03,natural lift,0.55,2.69,3.5,3.47
africa,1532.74,452.23,steam injection,15.62,9.66,3.26,5.85
africa,3090.91,2455.13,natural lift,5.22,2.61,2.16,2.84
south america,3515.06,1587328.73,steam injection,56.76,1.57,1.78,5.02
europe,3106.9,4738.87,natural lift,50.08,2.8,3.07,3.72
asia,811.8,4303652.24,steam injection,59.13,9.42,3.84,6.3
middle east,3613.52,1784639.89,natural lift,10.44,8.62,1.6,6.41
africa,3977.87,1463201.77,steam injection,56.97,0.83,2.68,3.36
europe,3037.38,3783.94,fracking,5.12,6.43,2.47,5.83
asia,3911.27,496409.28,water flooding,74.6,9.78,2.23,6.74
south america,2082.57,3197.04,fracking,60.13,1.81,3.12,9.61
africa,2859.58,4766.18,steam injection,94.03,7.5,0.02,0.62
middle east,4551.9,1822.08,steam injection,52.82,7.94,3.82,9.11
south america,4339.29,3129556.09,fracking,12.88,0.22,2.49,5.64
asia,2191.66,102.59,water flooding,97.8,5.48,2.59,6.05
europe,4428.67,4473.58,fracking,82.77,8.98,0.29,9.27
europe,4481.89,134435.25,natural lift,75.6,8.62,2.1,1.3
middle east,636.09,4783760.56,steam injection,20.18,5.62,2.32,3.2
south america,2249.84,4426.94,natural lift,30.45,2.58,4.57,4.16
africa,2238.55,4581.6,natural lift,22.97,9.91,1.23,9.68
middle east,4690.22,2880075.91,water flooding,21.26,7.07,3.43,0.06
middle east,2511.1,2732339.51,fracking,61.92,0.0,1.03,2.56
middle east,2931.6,2460.57,steam injection,53.39,0.65,4.7,9.21
south america,4588.22,4145742.05,steam injection,75.64,2.06,2.85,6.36
north america,2418.26,4143.92,steam injection,53.73,4.47,1.3,0.0
south america,1723.59,1030.58,steam injection,22.65,2.23,0.15,5.02
north america,2244.42,3217.15,water flooding,40.16,0.45,3.15,2.23
north america,4614.33,3060059.1,water flooding,52.51,1.2,3.6,8.4
north america,2154.58,2001689.89,water flooding,2.81,0.24,4.65,0.04
south america,3506.5,124.95,water flooding,16.47,0.97,2.03,4.77
europe,4212.62,1725.66,water flooding,89.77,7.9,2.91,8.5
south america,4212.5,550.84,fracking,27.0,3.4,3.68,4.14
middle east,3112.06,887.47,steam injection,98.5,2.97,3.6,2.11
middle east,1929.09,1205284.71,water flooding,81.53,6.25,2.04,3.32
south america,524.04,252345.78,steam injection,2.43,2.75,1.12,5.03
south america,2343.34,2948.63,natural lift,81.74,2.29,1.77,8.27
asia,1366.16,3026.7,steam injection,61.33,6.86,4.9,1.31
europe,4733.21,4370511.34,water flooding,16.72,7.85,4.68,4.95
south america,2234.35,132.94,steam injection,33.93,7.09,2.27,1.04
africa,4230.42,649.55,fracking,35.23,0.69,2.93,2.81
asia,4597.1,967.28,water flooding,97.46,4.64,4.47,3.78
europe,2879.51,161.52,water flooding,26.45,0.67,2.19,0.31
asia,835.76,997451.29,steam injection,52.63,2.42,0.56,8.25
south america,1628.15,3875.19,steam injection,92.55,7.98,2.74,8.44
europe,3917.02,4189.07,steam injection,33.27,9.39,1.17,9.94
north america,4928.23,4870.0,steam injection,55.96,0.62,1.87,2.67
north america,1963.97,205.87,water flooding,23.56,7.76,0.16,1.28
africa,3432.53,2920973.89,steam injection,68.13,8.28,3.11,7.62
asia,2185.27,2599.57,natural lift,24.69,1.73,2.27,2.33
europe,3728.93,2286.67,fracking,66.48,6.0,3.54,4.99
middle east,3252.51,4975.81,fracking,48.75,2.21,1.18,1.23
south america,799.1,4397.4,steam injection,82.8,1.81,1.16,5.74
north america,1244.93,2083416.71,fracking,35.39,5.16,4.47,3.73
north america,526.29,4135594.12,fracking,87.81,0.44,2.29,9.5
middle east,657.73,4198243.86,natural lift,30.05,0.36,3.17,3.86
africa,4595.92,3006.84,steam injection,82.11,1.13,4.88,2.51
middle east,596.54,4268721.02,fracking,64.71,5.5,4.31,8.66
europe,2440.62,1081.71,water flooding,7.81,8.04,0.37,4.65
africa,1421.99,3648.73,water flooding,36.27,4.12,1.9,2.63
middle east,1969.77,784.51,water flooding,60.6,9.93,3.66,1.97
middle east,4735.15,3317.36,water flooding,35.35,1.06,3.88,8.87
asia,3083.41,156.51,water flooding,60.56,4.88,0.8,8.51
europe,4047.73,2101395.35,natural lift,1.26,5.34,0.84,8.05
north america,3426.66,2299543.5,water flooding,36.49,9.59,5.0,2.99
south america,961.86,3469531.17,steam injection,2.87,9.61,3.84,5.1
asia,3985.38,1305.87,steam injection,22.75,4.35,4.03,3.51
middle east,1667.14,4076598.13,natural lift,56.88,2.02,4.23,1.52
europe,1298.9,4233.64,steam injection,95.73,9.35,1.99,4.37
asia,4254.31,80.63,steam injection,8.58,3.94,3.23,4.06
middle east,4924.26,111.06,water flooding,16.53,9.02,0.75,8.55
middle east,2916.24,3425994.1,water flooding,6.47,7.55,1.24,9.55
europe,4427.0,3374.36,natural lift,66.3,0.55,4.32,6.88
south america,4281.71,3086.34,steam injection,16.49,9.26,2.04,3.15
middle east,3199.08,4405.39,fracking,70.56,1.79,2.52,0.04
africa,3949.73,4859.2,steam injection,3.42,0.33,0.64,0.88
